inchikey,scaffold,partition,fold
PMWFGSNDBSNHJI-ZDUSSCGKSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccon3)c(=O)c21)Nc1csc(-c2cccnc2)n1,0,2
PMXSDPMOTVJQHZ-UHFFFAOYSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2cccnc2)n1,0,1
POOZHORJSHQJIX-VYDXJSESSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3C=C(c4ccccc4)CC32)no1,0,3
POOZHORJSHQJIX-ZMSDIMECSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3C=C(c4ccccc4)CC32)no1,0,3
PPBOSWYXLDLTQR-NRFANRHFSA-N,O=C(NCc1cn(-c2ccccc2)c(=O)[nH]c1=O)C1CCCN1S(=O)(=O)c1cc2ccccc2o1,0,0
PPHJNQDDPYIFET-UHFFFAOYSA-N,c1ccc(-c2ccc3[nH]ncc3c2)cc1,0,4
PPPUCVVATHINGW-UHFFFAOYSA-N,O=C(CNS(=O)(=O)c1ccccc1)NCC1CCCN(c2ccccc2)C1,0,0
PQLZHXGPCNTDOI-GXTWGEPZSA-N,O=c1c2ccnn2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,4
PQNMHUNFLUYLPR-LBPRGKRZSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2cccnc2)n1,0,1
PQPWYVUBQBVNIU-UHFFFAOYSA-N,O=C(NCC(Cc1ccccc1)N1CCCCC1)C1CCCCC1,0,4
PRCKQIDYJROCLA-HXOBKFHXSA-N,O=C(NCc1cccc(-c2cncnc2)c1)C12CC1CCN2S(=O)(=O)c1ccccc1,0,1
PRDXUIGUMMDGBL-UHFFFAOYSA-N,c1ccc(-c2ccc3[nH]ncc3c2)cc1,0,4
PTCXTLVNQCOOLJ-AAJLLMFJSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3C=C(c4ccccc4)CC32)no1,0,3
PTLJHZYZENAFPY-ZLPCBKJTSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1cncc(-c2ccc(N3CC4CC4C3)nc2)n1,0,2
PUBSTYZERDDJIW-UHFFFAOYSA-N,O=C1C2=C(NC(=S)NC2c2ccccc2)c2ccccc21,0,2
PUOGINDCHOJOMG-APWZRJJASA-N,O=C(NCc1cc(N2CCCCC2)ncn1)C1CCCN1S(=O)(=O)c1ccccc1,0,2
PVBIJCUQCJVLAL-UHFFFAOYSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccccn3)c(=O)c21)Nc1csc(-c2cncnc2)n1,0,1
PVFZUNSYFRTUGN-OIBJUYFYSA-N,c1csc(CC2CCCCC2)n1,0,2
PVJKXHORDRYXDV-UHFFFAOYSA-N,O=c1c2[nH]ncc2ncn1Cc1nn(CCc2ccccc2)c(=O)o1,0,1
PVRXMDUFHCZPHZ-UHFFFAOYSA-N,c1ccc(-c2ccc3[nH]ncc3c2)cc1,0,4
PWBYWHFGCWTQNI-VQTJNVASSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2COC(c3ccc(-c4ccccc4)cc3)C2)no1,0,1
PXCDDIGJGSYRSZ-FOLVSLTJSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3CN(c4ccccc4)CC32)no1,0,0
PXCDDIGJGSYRSZ-MIFYACCESA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3CN(c4ccccc4)CC32)no1,0,0
PXDPFFKXKJQMBY-LBPRGKRZSA-N,O=c1c2ccoc2ncn1Cc1nnn(CCc2cc3ccccc3s2)n1,0,1
PXDWCZGBDFEEIA-DTCTWCMCSA-N,c1ccncc1,0,4
PXKKQBVIUIPCPW-NNGSBXSVSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1cccc(-c2cnc(N3CC4CC4C3)nc2)n1,0,1
PXMFTABUBQFGMP-CTNGQTDRSA-N,O=C(NCc1cccc(-c2cccnc2)c1)C1CCCN1S(=O)(=O)c1ccccc1,0,2
PXSJGBKABVHIIW-CTNGQTDRSA-N,O=C(NCc1cc(-c2ccccc2)ncn1)C1CCC1S(=O)(=O)c1ccccc1,0,0
PXSQFGAZGBJIGE-ZRCAFCQKSA-N,O=C(NCc1cccc(-c2cncnc2)c1)C1C2CC2CN1S(=O)(=O)c1ccccc1,0,2
PYCVZEBMKNOBEX-MUWWLHTESA-N,O=c1c2[nH]nnc2ncn1Cc1nc(C2CC(c3ccccc3)C2)no1,0,2
PYFKLAFILPDHPW-JSGCOSHPSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1ccnc(-c2cnc(N3CCCC3)nc2)n1,0,4
PYQZVIOQEOMABN-UHFFFAOYSA-N,O=C(Cc1nsc2[nH]c(=O)[nH]c(=O)c12)Nc1nc(-c2ccccc2)cs1,0,3
PYUVYRLBAXWGIL-UZLBHIALSA-N,O=C(NCc1cccc(-c2cnccn2)c1)C1CCCN1S(=O)(=O)c1ccccc1,0,4
PYVHWBPRXXCCKR-UHFFFAOYSA-N,c1ccc(Nc2n[nH]c3ccncc23)cc1,0,3
PYVKWHMGOQLKRH-ZHRRBRCNSA-N,O=C(NCc1cc(-c2ccccc2)ccn1)C1CCCN1S(=O)(=O)c1ccccc1,0,2
PZLMINJQTMOPFT-UHFFFAOYSA-N,O=c1c2cccnc2ncn1Cc1nn(CCc2ccccc2)c(=O)o1,0,1
PZZQZTSBVOVKIW-WCQYABFASA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,2
QACBGXXAWHQEGV-CYGMFBECSA-N,O=C(NCc1cccc(C2CCCCN2)c1)C1CCCN1S(=O)(=O)c1ccccc1,0,3
QAGFMEUYWNRVKG-ZDUSSCGKSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccccn3)c(=O)c21)Nc1ccnc(-c2cncnc2)n1,0,3
QANDLGIRCKMBGX-UHFFFAOYSA-N,O=C(Cc1cccc2[nH]c(=O)[nH]c(=O)c12)Nc1nc(-c2ccccc2)cs1,0,3
QAYYDMWAJXHPGT-GXFFZTMASA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2COC(c3ccccn3)C2)no1,0,3
QBTYAOFNADKROF-CMPLNLGQSA-N,c1cncc(CC2CCCCC2)c1,0,0
QBWAUZYYCCITQO-XLIONFOSSA-N,O=C(NCc1cc(-c2cncnc2)ccn1)C1CCCN1S(=O)(=O)c1ccccc1,0,0
QCMMBGNFTCWHKV-UHFFFAOYSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccccn3)c(=O)c21)Nc1cccc(-c2ccccc2)n1,0,0
QCOUAXOJJUTRGN-HIFPTAJRSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2cnc(N3CC4CC4C3)nc2)n1,0,4
QCPBLUBTTYBKFC-UTKZUKDTSA-N,O=C(NCc1cc(-c2cccnc2)ccn1)C1CCCN1S(=O)(=O)c1ccccc1,0,3
QEHXVVXHOKWNFT-SWLSCSKDSA-N,O=c1c2[nH]nnc2ccn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,3
QEIWOHNHKVKLRF-UHFFFAOYSA-N,O=C(Cc1coc2[nH]c(=O)[nH]c(=O)c12)Nc1nc(-c2ccccc2)cs1,0,4
QFPHKALUCGSAJI-UHFFFAOYSA-N,O=c1c2cccnc2ncn1Cc1nc(CCc2cccnc2)no1,0,4
QGFCPNANNXPVLI-IPVJXJPOSA-N,O=c1c2ccncc2ncn1Cc1nc(C2CC(c3ccccc3)C2)no1,0,2
QGHXAKRXUBZBBB-DZGCQCFKSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,2
QGIXOJCLJSPCPO-UHFFFAOYSA-N,c1ccc(Nc2n[nH]c3cccnc23)cc1,0,3
QHVGCPFDRYRMLN-UHFFFAOYSA-N,c1ccc(-c2cn3ccccc3n2)cc1,0,3
QIFKHTVCZJXBND-JEYLPNPQSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2ccc(N3CC4CC4C3)nc2)n1,0,2
QIGKWJVPNDRBKA-UHFFFAOYSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1cccc(-c2cccnc2)n1,0,3
QIJQKBGRRGZXRH-SIKLNZKXSA-N,O=C(NCc1cc(-c2cccnc2)ncn1)C1CCCN1S(=O)(=O)c1ccccc1,0,0
QITDMZAZRQGDJZ-UHFFFAOYSA-N,c1ccc(Nc2n[nH]c3cccnc23)nc1,0,2
QJBLCHBIHYCOJP-UHFFFAOYSA-N,O=c1c2cccnc2ncn1Cc1noc(CCc2ccccc2)n1,0,4
QJJFPLPNPVMYFT-CTNGQTDRSA-N,O=C(NCc1cccc(-c2cccnc2)c1)C1CCCN1S(=O)(=O)c1ccccc1,0,2
QJUQOEKFYBXEIS-UHFFFAOYSA-N,O=c1c2[nH]cnc2ncn1Cc1nn(CCc2cccc(-c3ccccc3)c2)c(=O)o1,0,0
QJVZVWLHLYIOEK-GTPINHCMSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1cccc(-c2cnc(N3CC4CC4C3)nc2)n1,0,1
QKSNPPVPWNLCLK-UHFFFAOYSA-N,O=C(Cn1ncc2[nH]c(=O)[nH]c(=O)c21)Nc1nc(-c2ccccc2)cs1,0,4
QLMOPODZXCOESC-UHFFFAOYSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2cccnc2)n1,0,1
QLSIFRFNRJHECP-SMDDNHRTSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,2
QLZXIMYXMVOVAQ-NZQKXSOJSA-N,O=C(NCc1cccc(-c2cnccn2)c1)C1CCCN1S(=O)(=O)c1ccccc1,0,4
QMAFBTYWSLPNQI-DZGCQCFKSA-N,O=c1cc2c(=O)n(Cc3nc(C4COC(c5ccccc5)C4)no3)ncn2cn1,0,0
QMEGSSYRFUWZDE-GXTWGEPZSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2cnc(N3CCCC3)nc2)n1,0,4
QMEGSSYRFUWZDE-JSGCOSHPSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2cnc(N3CCCC3)nc2)n1,0,4
QMNDHOHVKPZQCS-HUUCEWRRSA-N,c1ccc(NC2CCCCC2)cc1,0,4
QNQAJPYYMAPRBO-UHFFFAOYSA-N,c1ccc(Nc2n[nH]c3ccccc23)cc1,0,3
QNSDSXCPSVTCKK-YBVWCTEOSA-N,O=C(NCc1cc(-c2ccccc2)ncn1)C1C2CCC(C2)N1S(=O)(=O)c1ccccc1,0,0
QNZGMOZJDBNRKF-LBPRGKRZSA-N,O=c1c2ccoc2ncn1Cc1nnn(CCc2cc3ccccc3o2)n1,0,3
QNZKHXHWRNJPBD-UHFFFAOYSA-N,c1ccccc1,0,1
QOENQLQNUIKJBK-UHFFFAOYSA-N,O=c1c2cccnc2ncn1Cc1nn(CCc2ccccc2)c(=O)o1,0,1
QOKKWJMBTXOPEN-UHFFFAOYSA-N,O=C(Cn1cnc2ccccc2c1=O)NCCc1ccccc1,0,4
QOZZBCIPYXNJCK-ZIAGYGMSSA-N,c1ccc2c(c1)CCN2C1CCCCC1,0,3
QPCKSJFZJVXDFA-LBPRGKRZSA-N,O=c1c2ccsc2ncn1Cc1nnn(CCc2ccccc2)n1,0,4
QQQSONYYTGJIQO-UHFFFAOYSA-N,O=C(CNS(=O)(=O)c1ccccc1)NCC1CN(c2ccccc2)CCO1,0,3
QQQXKVCQXDRDNX-RXVVDRJESA-N,O=C(NCc1cccc(-c2cnccn2)c1)C1CCCN1S(=O)(=O)c1ccccc1,0,4
QRBXPSUERQTHLC-DZFIZOCASA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3CN(c4cccc(-n5cccn5)c4)CC32)no1,0,3
QRHSEUYZXNXRAQ-QFIPXVFZSA-N,O=C(NCc1cn(-c2ccccc2)c(=O)[nH]c1=O)C1CCCN1S(=O)(=O)c1cc2ccccc2o1,0,0
QSBZGESBJYBOBP-UHFFFAOYSA-N,O=C(Cc1csc2[nH]c(=O)[nH]c(=O)c12)Nc1nc(-c2ccccc2)cs1,0,1
QSDHOQUBCGWXAS-SWLSCSKDSA-N,O=c1c2cccnc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,2
QSIHJBAJXYRZEP-FXAWDEMLSA-N,O=c1c2cnc(NC3CCNCC3)n2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,1
QSJDMPUWLQMDRL-ZETCQYMHSA-N,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,0,1
QTHSTPFEORYFGF-UHFFFAOYSA-N,O=C(Cn1cnc2ccccc2c1=O)NCCc1ccccc1,0,4
QTRILORKJOOALG-KWUMSVIQSA-N,O=c1c2ccncc2ncn1Cc1nc(C2CC(c3ccccc3)C2)no1,0,2
QUAFNALOLHHWGL-MDZDMXLPSA-N,O=C(C=Cc1ccccc1)Nc1ccccc1,0,3
QUCBMVALSQJJDY-WIBUTAKZSA-N,O=C1C=C(CCC2CCCOO2)CCC1,0,2
QUPNHARNJUEBBN-UHFFFAOYSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ncno3)c(=O)c21)Nc1cccc(-c2cncnc2)n1,0,0
QUTZFRWPAJBYPD-UHFFFAOYSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1cncc(-c2cccnc2)n1,0,1
QVLFKDKVSWBVHB-LBPRGKRZSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccon3)c(=O)c21)Nc1cncc(-c2cncnc2)n1,0,4
QVRQGKMJHZNDPL-SMDDNHRTSA-N,O=c1c2ccnn2ncn1Cc1nc(C2COC(c3ccccn3)C2)no1,0,1
QWBWILDFODWOBE-HUUCEWRRSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2CCC(c3ccccc3)C2)no1,0,2
QWHBACLOOIUCGE-QGZVFWFLSA-N,S=C1Nc2c(oc3ccccc23)C(c2ccccc2)N1,0,4
QWJYOLGDDWGWEX-WOSRLPQWSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3C=C(c4ccccc4)CC32)no1,0,3
QWLNQFWDSVBLQX-SWLSCSKDSA-N,O=c1c2cccnc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,2
QWTDNAJECWPVJB-UHFFFAOYSA-N,c1ccc(-c2cn3ccccc3n2)cc1,0,3
QWTRKWBGKUSEGF-XLIONFOSSA-N,O=C(NCc1cnn(-c2ccccc2)c1)C1CCCN1S(=O)(=O)c1ccccc1,0,1
QXACEHWTBCFNSA-SFQUDFHCSA-N,c1ccccc1,0,1
QXBQEVYVRMWQJO-JQRITLKVSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2cnc(N3CC4CC4C3)nc2)n1,0,4
QXBSEULNTNAFNO-UHFFFAOYSA-N,S=C1Nc2c(oc3ccccc23)C(c2ccccc2)N1,0,4
QXLPITFISDKGCL-LBPRGKRZSA-N,O=c1c2ccsc2ncn1Cc1nnn(CCc2cc3ccccc3s2)n1,0,0
QXOZMIUQRZZTIE-UHFFFAOYSA-N,O=C(CNC(=O)c1ccccc1)c1ccccc1,0,2
QXUVGAUHCZPSAQ-FOLVSLTJSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3CN(c4ccccc4)CC32)no1,0,0
QYYUODQVSQCLPQ-BBRMVZONSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2cnc(N3CCCC3)nc2)n1,0,4
QZGNCRICQIDMHW-UHFFFAOYSA-N,c1ccc(-c2cn3ccccc3n2)cc1,0,3
QZOIMDCJCAKBGQ-UHFFFAOYSA-N,O=C(CNC(=O)c1cn[nH]c1)c1ccc2nonc2c1,0,4
RAFUPNMBANCSLG-YEORSEQZSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2CC(Oc3ccccc3)C2)no1,0,2
RAHSUIGYUWDUOC-UHFFFAOYSA-N,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,0,1
RAQSTFBWMXLVQS-UHFFFAOYSA-N,c1ccccc1,0,1
RBMMABICGHVJIJ-AWEZNQCLSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccon3)c(=O)c21)Nc1ccnc(-c2cccnc2)n1,0,2
RBQDBKBBFFUJHV-UHFFFAOYSA-N,O=c1c2[nH]cnc2ncn1Cc1nn(CCc2ccccc2)c(=O)o1,0,1
RBQQXOROSFEGNT-WCQYABFASA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,2
RDUIENCYZRNFOI-UHFFFAOYSA-N,c1ccc2[nH]c(-c3n[nH]c4ccccc34)cc2c1,0,1
RDUWGQOSDSCPEY-DIBXZPPDSA-N,O=C(Cc1[nH]nc2[nH]c(=O)[nH]c(=O)c12)N=c1[nH]c(-c2ccccc2)cs1,0,1
RDZDOAHPYMGFTF-GOEBONIOSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,2
RELPPOJGGXOECP-UHFFFAOYSA-N,c1ccc(Oc2nccc3[nH]ccc23)cc1,0,1
REOZWEGFPHTFEI-JKSUJKDBSA-N,C1=CC(c2ccccc2)CCC1,0,0
REQIGSAIGZEBIL-HNNXBMFYSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccon3)c(=O)c21)Nc1csc(-c2cncnc2)n1,0,3
REQRXYTVHDTROQ-QWPOMPHKSA-N,c1ccccc1,0,1
RFVGHGUGSAAXTQ-IERDGZPVSA-N,O=C(NCc1cc(N2CCCCC2)ccn1)C1CCCN1S(=O)(=O)c1ccccc1,0,3
RFWQIWOJUKZICG-UHFFFAOYSA-N,O=C(CNC(=O)c1ccccc1)c1ccccc1,0,2
RFXWMKXVVDBBLS-UHFFFAOYSA-N,O=c1c2[nH]ccc2ncn1Cc1nn(CCc2ccccc2)c(=O)o1,0,2
RGGJFJAOYSJEKN-JOCQHMNTSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2CC(c3ccccc3)C2)no1,0,3
RGXNECXVRZKGGH-UOXRKKOCSA-N,O=C(NCc1ccnc(-c2cncnc2)c1)C1CCCN1S(=O)(=O)c1ccccc1,0,0
RHMHJTBKWCHRFJ-LBPRGKRZSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ncon3)c(=O)c21)Nc1cncc(-c2cccnc2)n1,0,1
RHXMMXJMSUZJGT-MNNVXMFVSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1cccc(-c2ccc(N3CC4CC4C3)nc2)n1,0,0
RIIXXVBMCUBPDJ-SHTZXODSSA-N,O=c1c2cccnc2ncn1Cc1nc(C2CC(c3ccccc3)C2)no1,0,2
RIUFXWHYQAUEAO-UHFFFAOYSA-N,c1ccc(-c2n[nH]c3ccccc23)cc1,0,4
RJMWAUREFQUJOV-LBPRGKRZSA-N,O=c1c2ccsc2ncn1Cc1nnn(CCc2ccc3occc3c2)n1,0,2
RKBDDOAOYHMXHG-HDJSIYSDSA-N,O=c1c2cccnc2ncn1Cc1nc(C2CC(c3ccccc3)C2)no1,0,2
RKBSUEKOOGJZRP-KUHUBIRLSA-N,O=C(NCc1cc(-c2cncnc2)ccn1)C1CCCN1S(=O)(=O)c1ccccc1,0,0
RKGSVRATVWYWQZ-XLIONFOSSA-N,O=C(NCc1cc(-c2cccnc2)ccn1)C1CCCN1S(=O)(=O)c1ccccc1,0,3
RKUSVOSNDTWJFP-QFIPXVFZSA-N,O=C(NCc1c[nH]c(=O)c(-c2cccnc2)c1)C1CCCN1S(=O)(=O)c1cc2ccccc2o1,0,2
RLCFIKQUNAVFSB-UHFFFAOYSA-N,O=C(Cc1cccc2[nH]c(=O)[nH]c(=O)c12)Nc1nc(-c2ccccc2)cs1,0,3
RLSJFZMRRVZYOG-UHFFFAOYSA-N,O=C(Cc1cccc2[nH]c(=O)[nH]c(=O)c12)Nc1nc(-c2ccccc2)cs1,0,3
RMLPFNIHAZOFIL-SIKLNZKXSA-N,O=C(NCc1cc(-c2cccnc2)ncn1)C1CCCN1S(=O)(=O)c1ccccc1,0,0
RMPXORPOMZZYAM-UHFFFAOYSA-N,O=C(NCC(Cc1ccccc1)N1CCCCC1)c1nccs1,0,1
RMQZLRRVWCKZAT-UHFFFAOYSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccon3)c(=O)c21)Nc1cccc(N2CC3CC3C2)n1,0,3
RNTNRGPOXWZFSV-HHCCDPJTSA-N,O=c1c2ccnn2ncn1Cc1nc(C2CC(c3ccccc3)C2)no1,0,4
RNUOFBBBPCXGHG-QLPKVWCKSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3CN(c4ccccc4)CC32)no1,0,0
RONHBRICLKDFKA-CTYIDZIISA-N,O=c1c2cccnc2cnn1Cc1nn(C2CC(c3ccccc3)C2)c(=O)o1,0,3
ROPFVCZNOGJJTP-FOLVSLTJSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3CN(c4ccccc4)CC32)no1,0,0
ROWLJZVZKLFWIP-ZDUSSCGKSA-N,O=C1NCCc2c1sc1ncn(Cc3nnn(CCc4cc5ccccc5o4)n3)c(=O)c21,0,1
RPCAQDVUXPFSNA-CDKJVOIVSA-N,c1ccccc1,0,1
RPYNGOUXKHDDOG-APWZRJJASA-N,O=C(NCc1cccc(-n2cccn2)c1)C1CCCN1S(=O)(=O)c1ccccc1,0,4
RQNFZQNZWILBEE-QUCCMNQESA-N,O=C(NCc1cccc(-c2cncnc2)c1)C1CCCN1S(=O)(=O)c1ccccc1,0,1
RQQAWKCHVMJSHO-MNZLEMJZSA-N,O=c1c2cccnc2cnn1Cc1nc(C2C3CN(c4ccccc4)CC32)no1,0,0
RQRSHGKVUVLTGC-SHTZXODSSA-N,O=c1c2cccnc2ncn1Cc1nc(C2CC(c3ccccc3)C2)no1,0,2
RQYJNYUPQSRKEX-ZDUSSCGKSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccon3)c(=O)c21)Nc1cccc(-c2cncnc2)n1,0,4
RROFQCPRKWVHAS-UHFFFAOYSA-N,O=C(Cn1cnc2ccccc2c1=O)NCCc1ccccc1,0,4
RRTAHZNWVCULQP-UHFFFAOYSA-N,O=C(Nc1cccc(NCc2cccs2)c1)c1cccs1,0,2
RSEKKORVKIXWHN-BXHXUVEDSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2CC(c3ccccc3)C2)no1,0,3
RSSHXKVUURRAKX-GFCCVEGCSA-N,O=c1c2[nH]cnc2ncn1Cc1nn(CCc2ccccc2)c(=O)o1,0,1
RSSHXKVUURRAKX-LBPRGKRZSA-N,O=c1c2[nH]cnc2ncn1Cc1nn(CCc2ccccc2)c(=O)o1,0,1
RTOPZEJDITVXGI-MNZLEMJZSA-N,O=c1c2cccnc2cnn1Cc1nc(C2C3CN(c4ccccc4)CC32)no1,0,0
RTYUVVPWNPBAAI-SIKLNZKXSA-N,O=C(NCc1cc(-c2cccnc2)ncn1)C1CC2(CC2)CN1S(=O)(=O)c1ccccc1,0,2
RUDSKJYIDUAKKF-HNNXBMFYSA-N,O=c1c2ccsc2ncn1Cc1nc(CCc2ccccc2)no1,0,2
RUTDIBPJABTBIH-JOCQHMNTSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2CC(c3ccccc3)C2)no1,0,3
RVDABDCXJORPND-UHFFFAOYSA-N,O=c1oc(Cc2cnc3sccn3c2=O)nn1CCc1ccccc1,0,0
RVGJWMWMMBRESO-LBPRGKRZSA-N,O=c1c2ccsc2ncn1Cc1nc(CCc2ccccc2)no1,0,2
RVMLSWRWPJDAMD-UHFFFAOYSA-N,O=C(Cc1cccc2[nH]c(=O)[nH]c(=O)c12)Nc1nc(-c2ccccc2)cs1,0,3
RWCHXWRYBIRFNE-UHFFFAOYSA-N,O=C(Cc1coc2[nH]c(=O)[nH]c(=O)c12)Nc1nc(-c2ccccc2)cs1,0,4
RWIAKYVGVKDIRP-SWLSCSKDSA-N,c1ccc2c(CC3CCCCC3)c[nH]c2c1,0,4
RXBHBVLYZQAGOZ-KOMQPUFPSA-N,O=c1c2cccnc2ncn1Cc1nn(C2CC(c3ccccc3)C2)c(=O)o1,0,1
RXCHUXFWVPCBNN-UHFFFAOYSA-N,O=C(Cc1cccc2c1C(=O)NC2=O)Nc1nc(-c2ccccc2)cs1,0,0
RXDLQMSQKRAFKY-SWLSCSKDSA-N,O=c1ncn(Cc2nc(C3COC(c4ccccc4)C3)no2)c2ncccc12,0,1
RYOHHCGMNJEVIR-UHFFFAOYSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1ccnc(-c2cnc(N3CC4CC4C3)nc2)n1,0,3
RYUCFDWWFHXUHD-UXHICEINSA-N,O=C(Cc1cnn(-c2ccccc2)c1)NC1CCC1S(=O)(=O)c1ccccc1,0,1
RZMBEUPDQABNNP-LSKLOWJMSA-N,O=C(NCc1ccnc(-c2cncnc2)c1)C1CCCN1S(=O)(=O)c1ccccc1,0,0
SABAYCWPZHQHKG-NFOMZHRRSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2cnc(N3CC4CC4C3)nc2)n1,0,4
SAMJQPAXJHTPPP-UHFFFAOYSA-N,O=c1c2cccnc2ncn1Cc1nc(CCc2ccccc2)no1,0,1
SBACLEGKEWSXLI-UHFFFAOYSA-N,O=C(Cc1coc2[nH]c(=O)[nH]c(=O)c12)Nc1nc(-c2ccccc2)cs1,0,4
SBWZTTUKCJUALE-SWLSCSKDSA-N,O=c1c2cccnc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,2
SCDFLVQWVCBTRY-UHFFFAOYSA-N,O=c1c2[nH]cnc2ncn1Cc1nn(CCc2ccc(-c3ccccc3)cc2)c(=O)o1,0,2
SCMGPSOKSOKBBN-XLIONFOSSA-N,O=C(NCc1cccc(-c2cccnn2)c1)C1CCCN1S(=O)(=O)c1ccccc1,0,2
SCPVZTYGMSQVAC-XMCHAPAWSA-N,O=C(NCc1cc(-c2cccnc2)ncn1)C1CC2CC2N1S(=O)(=O)c1ccccc1,0,3
SDKINESYISJNHI-UHFFFAOYSA-N,O=C(CNC(=O)c1ccccc1)c1ccccc1,0,2
SEGWTDQQCHLCHX-IRBZQWRBSA-N,O=C(NCc1cc(-c2ccccc2)ncn1)C1CC2COCC2N1S(=O)(=O)c1ccccc1,0,4
SEGWTDQQCHLCHX-XARZLDAJSA-N,O=C(NCc1cc(-c2ccccc2)ncn1)C1CC2COCC2N1S(=O)(=O)c1ccccc1,0,4
SELZLURRXNIGSN-JXFKEZNVSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccon3)c(=O)c21)Nc1cccc(-c2cnc(N3CCCC3)nc2)n1,0,0
SEZSWZYJAHZVBQ-UHFFFAOYSA-N,O=C(Cc1cccc2[nH]c(=O)[nH]c(=O)c12)Nc1nc(-c2ccccc2)cs1,0,3
SFIQAZWEBFWFFD-JTQLQIEISA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ncno3)c(=O)c21)Nc1cncc(-c2cncnc2)n1,0,2
